INFO  17:04:21 Configuration location: file:/home/automaton/cassandra/conf/cassandra.yaml
INFO  17:04:21 Node configuration:[authenticator=AllowAllAuthenticator; authorizer=AllowAllAuthorizer; auto_snapshot=true; batch_size_fail_threshold_in_kb=50; batch_size_warn_threshold_in_kb=5; batchlog_replay_throttle_in_kb=1024; cas_contention_timeout_in_ms=1000; client_encryption_options=<REDACTED>; cluster_name=Test Cluster; column_index_size_in_kb=64; commit_failure_policy=stop; commitlog_segment_size_in_mb=32; commitlog_sync=periodic; commitlog_sync_period_in_ms=10000; compaction_large_partition_warning_threshold_mb=100; compaction_throughput_mb_per_sec=16; concurrent_batchlog_writes=32; concurrent_counter_writes=32; concurrent_materialized_view_writes=32; concurrent_reads=32; concurrent_writes=32; counter_cache_save_period=7200; counter_cache_size_in_mb=null; counter_write_request_timeout_in_ms=5000; cross_node_timeout=false; disk_failure_policy=stop; dynamic_snitch_badness_threshold=0.1; dynamic_snitch_reset_interval_in_ms=600000; dynamic_snitch_update_interval_in_ms=100; enable_scripted_user_defined_functions=false; enable_user_defined_functions=false; endpoint_snitch=SimpleSnitch; hinted_handoff_enabled=true; hinted_handoff_throttle_in_kb=1024; hints_flush_period_in_ms=10000; incremental_backups=false; index_summary_capacity_in_mb=null; index_summary_resize_interval_in_minutes=60; inter_dc_tcp_nodelay=false; internode_compression=all; key_cache_save_period=14400; key_cache_size_in_mb=null; listen_address=localhost; max_hint_window_in_ms=10800000; max_hints_delivery_threads=2; max_hints_file_size_in_mb=128; memtable_allocation_type=heap_buffers; native_transport_port=9042; num_tokens=256; partitioner=org.apache.cassandra.dht.Murmur3Partitioner; permissions_validity_in_ms=2000; range_request_timeout_in_ms=10000; read_request_timeout_in_ms=5000; request_scheduler=org.apache.cassandra.scheduler.NoScheduler; request_timeout_in_ms=10000; role_manager=CassandraRoleManager; roles_validity_in_ms=2000; row_cache_save_period=0; row_cache_size_in_mb=0; rpc_address=localhost; rpc_keepalive=true; rpc_port=9160; rpc_server_type=sync; seed_provider=[{class_name=org.apache.cassandra.locator.SimpleSeedProvider, parameters=[{seeds=127.0.0.1}]}]; server_encryption_options=<REDACTED>; snapshot_before_compaction=false; ssl_storage_port=7001; sstable_preemptive_open_interval_in_mb=50; start_native_transport=true; start_rpc=false; storage_port=7000; thrift_framed_transport_size_in_mb=15; tombstone_failure_threshold=100000; tombstone_warn_threshold=1000; tracetype_query_ttl=86400; tracetype_repair_ttl=604800; trickle_fsync=false; trickle_fsync_interval_in_kb=10240; truncate_request_timeout_in_ms=60000; windows_timer_interval=1; write_request_timeout_in_ms=2000]
INFO  17:04:21 DiskAccessMode 'auto' determined to be mmap, indexAccessMode is mmap
INFO  17:04:21 Global memtable on-heap threshold is enabled at 3413MB
INFO  17:04:21 Global memtable off-heap threshold is enabled at 3413MB
INFO  17:04:21 Node configuration:[authenticator=AllowAllAuthenticator; authorizer=AllowAllAuthorizer; auto_snapshot=true; batch_size_fail_threshold_in_kb=50; batch_size_warn_threshold_in_kb=5; batchlog_replay_throttle_in_kb=1024; cas_contention_timeout_in_ms=1000; client_encryption_options=<REDACTED>; cluster_name=Test Cluster; column_index_size_in_kb=64; commit_failure_policy=stop; commitlog_segment_size_in_mb=32; commitlog_sync=periodic; commitlog_sync_period_in_ms=10000; compaction_large_partition_warning_threshold_mb=100; compaction_throughput_mb_per_sec=16; concurrent_batchlog_writes=32; concurrent_counter_writes=32; concurrent_materialized_view_writes=32; concurrent_reads=32; concurrent_writes=32; counter_cache_save_period=7200; counter_cache_size_in_mb=null; counter_write_request_timeout_in_ms=5000; cross_node_timeout=false; disk_failure_policy=stop; dynamic_snitch_badness_threshold=0.1; dynamic_snitch_reset_interval_in_ms=600000; dynamic_snitch_update_interval_in_ms=100; enable_scripted_user_defined_functions=false; enable_user_defined_functions=false; endpoint_snitch=SimpleSnitch; hinted_handoff_enabled=true; hinted_handoff_throttle_in_kb=1024; hints_flush_period_in_ms=10000; incremental_backups=false; index_summary_capacity_in_mb=null; index_summary_resize_interval_in_minutes=60; inter_dc_tcp_nodelay=false; internode_compression=all; key_cache_save_period=14400; key_cache_size_in_mb=null; listen_address=localhost; max_hint_window_in_ms=10800000; max_hints_delivery_threads=2; max_hints_file_size_in_mb=128; memtable_allocation_type=heap_buffers; native_transport_port=9042; num_tokens=256; partitioner=org.apache.cassandra.dht.Murmur3Partitioner; permissions_validity_in_ms=2000; range_request_timeout_in_ms=10000; read_request_timeout_in_ms=5000; request_scheduler=org.apache.cassandra.scheduler.NoScheduler; request_timeout_in_ms=10000; role_manager=CassandraRoleManager; roles_validity_in_ms=2000; row_cache_save_period=0; row_cache_size_in_mb=0; rpc_address=localhost; rpc_keepalive=true; rpc_port=9160; rpc_server_type=sync; seed_provider=[{class_name=org.apache.cassandra.locator.SimpleSeedProvider, parameters=[{seeds=127.0.0.1}]}]; server_encryption_options=<REDACTED>; snapshot_before_compaction=false; ssl_storage_port=7001; sstable_preemptive_open_interval_in_mb=50; start_native_transport=true; start_rpc=false; storage_port=7000; thrift_framed_transport_size_in_mb=15; tombstone_failure_threshold=100000; tombstone_warn_threshold=1000; tracetype_query_ttl=86400; tracetype_repair_ttl=604800; trickle_fsync=false; trickle_fsync_interval_in_kb=10240; truncate_request_timeout_in_ms=60000; windows_timer_interval=1; write_request_timeout_in_ms=2000]
INFO  17:04:22 Did not find Netty's native epoll transport in the classpath, defaulting to NIO.
INFO  17:04:22 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  17:04:22 New Cassandra host /172.31.17.72:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.17.72; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up insert with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Generating batches with [1..1] partitions and [1..1] rows (of [1..1] total rows in the partitions)
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [insert, likelyquery0] with 250 threads for 5000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
insert,          161,     162,     162,     162,   309.8,   413.5,   561.6,   629.4,   629.4,   629.4,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
likelyquery0,       128,     129,     129,     129,   609.9,   600.7,   979.5,  1005.5,  1035.2,  1035.2,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
total,           289,     292,     292,     292,   442.7,   462.8,   941.7,   997.8,  1035.2,  1035.2,    1.0,  0.00000,      0,      0,       0,       0,       0,       0
insert,         8295,      43,      43,      43,   689.1,   665.8,  1006.2,  1197.9,  1423.9,  1556.8,  189.0,  0.17253,      0,      0,       0,       0,       0,       0
likelyquery0,     25422,     135,     135,     135,  1635.2,  1592.6,  2230.8,  2501.9,  2746.1,  3030.6,  189.0,  0.17253,      0,      0,       0,       0,       0,       0
total,         33717,     178,     178,     178,  1405.0,  1458.7,  2176.1,  2467.4,  2734.4,  3030.6,  189.0,  0.17253,      0,      0,       0,       0,       0,       0
insert,        16756,      46,      46,      46,   678.7,   645.9,  1012.5,  1211.6,  1505.0,  1718.4,  374.9,  0.14131,      0,      0,       0,       0,       0,       0
likelyquery0,     50733,     136,     136,     136,  1608.2,  1561.7,  2237.7,  2574.9,  2898.7,  3175.6,  374.9,  0.14131,      0,      0,       0,       0,       0,       0
total,         67489,     182,     182,     182,  1375.3,  1411.0,  2171.2,  2518.1,  2858.6,  3175.6,  374.9,  0.14131,      0,      0,       0,       0,       0,       0
insert,        24399,      43,      43,      43,   685.0,   653.9,  1025.9,  1237.9,  1552.5,  1641.0,  552.1,  0.11818,      0,      0,       0,       0,       0,       0
likelyquery0,     74700,     135,     135,     135,  1629.1,  1582.6,  2252.9,  2555.4,  2886.4,  3119.0,  552.1,  0.11818,      0,      0,       0,       0,       0,       0
total,         99099,     178,     178,     178,  1400.8,  1447.7,  2183.5,  2511.8,  2878.7,  3119.0,  552.1,  0.11818,      0,      0,       0,       0,       0,       0
insert,        32765,      47,      47,      47,   668.1,   637.2,  1000.9,  1175.8,  1346.3,  1435.5,  730.4,  0.09909,      0,      0,       0,       0,       0,       0
likelyquery0,     99043,     137,     137,     137,  1602.3,  1555.4,  2232.5,  2488.6,  2793.4,  3048.9,  730.4,  0.09909,      0,      0,       0,       0,       0,       0
total,        131808,     183,     183,     183,  1363.3,  1408.7,  2165.5,  2452.7,  2777.5,  3048.9,  730.4,  0.09909,      0,      0,       0,       0,       0,       0
insert,        40941,      45,      45,      45,   685.3,   656.4,  1013.9,  1185.2,  1399.6,  1594.0,  910.6,  0.08607,      0,      0,       0,       0,       0,       0
likelyquery0,    123191,     134,     134,     134,  1635.5,  1584.3,  2252.0,  2525.3,  2847.9,  3178.6,  910.6,  0.08607,      0,      0,       0,       0,       0,       0
total,        164132,     179,     179,     179,  1395.1,  1436.8,  2188.9,  2481.6,  2820.8,  3178.6,  910.6,  0.08607,      0,      0,       0,       0,       0,       0
insert,        49235,      46,      46,      46,   678.7,   646.2,  1011.4,  1210.0,  1397.6,  1592.7, 1092.5,  0.07562,      0,      0,       0,       0,       0,       0
likelyquery0,    147917,     136,     136,     136,  1611.1,  1560.1,  2232.6,  2570.9,  2903.5,  3128.5, 1092.5,  0.07562,      0,      0,       0,       0,       0,       0
total,        197152,     181,     181,     181,  1376.9,  1414.1,  2165.0,  2511.8,  2873.0,  3128.5, 1092.5,  0.07562,      0,      0,       0,       0,       0,       0
insert,        56693,      42,      42,      42,   691.9,   660.2,  1020.0,  1212.5,  1461.4,  1663.2, 1269.1,  0.06803,      0,      0,       0,       0,       0,       0
likelyquery0,    171696,     135,     135,     135,  1639.5,  1593.8,  2260.5,  2522.4,  2756.8,  2966.3, 1269.1,  0.06803,      0,      0,       0,       0,       0,       0
total,        228389,     177,     177,     177,  1413.3,  1443.5,  2204.2,  2486.7,  2723.4,  2966.3, 1269.1,  0.06803,      0,      0,       0,       0,       0,       0
insert,        65898,      47,      47,      47,   671.7,   639.2,  1003.7,  1167.9,  1312.7,  1487.9, 1466.4,  0.06112,      0,      0,       0,       0,       0,       0
likelyquery0,    198627,     137,     137,     137,  1600.4,  1546.3,  2226.5,  2490.4,  2722.3,  2994.7, 1466.4,  0.06112,      0,      0,       0,       0,       0,       0
total,        264525,     183,     183,     183,  1363.8,  1408.5,  2162.8,  2441.0,  2684.9,  2994.7, 1466.4,  0.06112,      0,      0,       0,       0,       0,       0
insert,        79360,      46,      46,      46,   677.1,   646.5,   988.2,  1180.7,  1368.2,  1494.6, 1759.3,  0.05559,      0,      0,       0,       0,       0,       0
likelyquery0,    238426,     136,     136,     136,  1612.2,  1561.3,  2215.2,  2460.4,  2689.0,  2990.8, 1759.3,  0.05559,      0,      0,       0,       0,       0,       0
total,        317786,     182,     182,     182,  1375.8,  1417.6,  2164.3,  2425.1,  2673.5,  2990.8, 1759.3,  0.05559,      0,      0,       0,       0,       0,       0
insert,        88697,      43,      43,      43,   685.3,   646.9,  1044.7,  1228.3,  1401.9,  1791.3, 1975.9,  0.05115,      0,      0,       0,       0,       0,       0
likelyquery0,    267913,     136,     136,     136,  1619.6,  1555.7,  2266.7,  2558.1,  2837.9,  3060.3, 1975.9,  0.05115,      0,      0,       0,       0,       0,       0
total,        356610,     179,     179,     179,  1394.9,  1418.4,  2208.5,  2507.8,  2826.5,  3060.3, 1975.9,  0.05115,      0,      0,       0,       0,       0,       0
insert,        97648,      47,      47,      47,   670.4,   647.5,   959.8,  1178.4,  1483.2,  1664.1, 2166.5,  0.04708,      0,      0,       0,       0,       0,       0
likelyquery0,    294107,     137,     137,     137,  1590.3,  1555.9,  2152.6,  2462.9,  2772.9,  2984.3, 2166.6,  0.04708,      0,      0,       0,       0,       0,       0
total,        391755,     184,     184,     184,  1356.0,  1426.2,  2080.3,  2419.2,  2744.3,  2984.3, 2166.6,  0.04708,      0,      0,       0,       0,       0,       0
insert,       103576,      47,      47,      47,   672.5,   641.6,   994.2,  1202.0,  1452.3,  1690.1, 2293.5,  0.04373,      0,      0,       0,       0,       0,       0
likelyquery0,    311243,     135,     135,     135,  1615.3,  1550.2,  2220.5,  2546.9,  3019.2,  3397.1, 2293.5,  0.04373,      0,      0,       0,       0,       0,       0
